temperatura,pressao,posicao_valvula,vazao_massica
21.0635,5.3818,0.8205,0.4264
26.6596,6.6453,0.5679,0.3688
21.7032,6.0734,0.7994,0.4744
26.2767,4.9209,0.1093,0.0509
23.2287,6.119,0.6951,0.4148
21.8196,3.5916,0.3432,0.1119
24.7682,7.2989,0.3479,0.2509
24.7797,1.9242,0.6786,0.0962
25.7375,5.4191,0.7815,0.4061
23.8215,2.959,0.9483,0.2432
25.0143,5.9514,0.5258,0.3034
20.5841,7.8931,0.0034,0.0027
22.8817,4.131,0.7579,0.2908
21.7899,6.623,0.4814,0.314
27.358,3.9157,0.1131,0.0405
28.782,4.2485,0.8514,0.3341
28.2067,1.8336,0.8332,0.1089
23.1754,7.475,0.8551,0.6343
28.0226,2.2069,0.4308,0.0744
21.9236,6.1383,0.0904,0.0543
24.6306,6.3922,0.8987,0.5612
28.7545,7.826,0.9414,0.7269
22.6333,5.4854,0.3543,0.1876
24.1982,6.3567,0.7709,0.4789
26.1526,7.3921,0.5772,0.421
20.1701,2.1196,0.7113,0.1174
26.801,6.049,0.6739,0.3947
29.8053,3.6714,0.9233,0.3049
27.7634,4.8841,0.8795,0.4053
22.9155,7.2972,0.4973,0.3596
24.7625,6.5564,0.899,0.5771
20.6078,7.0993,0.6452,0.4547
24.4559,6.2868,0.4866,0.2985
29.5344,4.9414,0.9129,0.4251
24.8341,6.3061,0.9157,0.5632
23.601,6.2431,0.7842,0.4781
25.6869,3.2927,0.3858,0.1126
21.6909,3.2016,0.4035,0.1145
22.7771,2.6841,0.26,0.059
23.3479,4.3077,0.4415,0.1777
24.1266,3.8519,0.5002,0.1765
21.3372,3.4499,0.1973,0.0614
25.4399,7.5136,0.4008,0.2979
27.5645,7.3235,0.8179,0.5892
27.7967,2.8203,0.3408,0.0817
22.7279,5.0084,0.6381,0.3051
24.2842,6.8523,0.1174,0.0791
20.7621,5.9266,0.871,0.5039
20.1512,6.6777,0.4077,0.2691
27.8192,7.7678,0.7099,0.5446
28.3744,4.2392,0.7268,0.2847
25.4746,6.898,0.7943,0.5382
24.4233,2.5369,0.1495,0.0314
23.972,7.591,0.5133,0.3866
28.7459,2.3563,0.9453,0.1785
22.1685,4.5934,0.0022,0.001
23.1454,6.3544,0.4465,0.2777
20.294,2.8442,0.2006,0.0492
22.7701,7.0026,0.6613,0.4575
26.889,3.7146,0.8296,0.2792
20.9843,6.7775,0.4099,0.2745
27.8431,2.4998,0.4903,0.1004
20.7909,6.0978,0.2316,0.1383
29.9822,6.6577,0.4976,0.322
23.9279,6.849,0.9838,0.6631
22.6318,2.692,0.5257,0.1197
21.0278,2.0541,0.584,0.092
21.1187,2.9886,0.545,0.1422
22.1423,1.4543,0.2708,0.0235
20.5068,2.7332,0.8859,0.2065
29.7463,5.4912,0.033,0.0173
27.0558,5.9916,0.714,0.4137
22.0782,7.9202,0.7998,0.6326
22.9571,5.8181,0.4794,0.2708
22.0032,1.4633,0.6654,0.0585
20.8371,6.3531,0.5892,0.3679
20.9088,5.2949,0.3113,0.1589
26.362,7.8911,0.4143,0.3241
20.1472,4.0147,0.3721,0.1388
23.776,4.1723,0.6161,0.2388
20.2844,2.8134,0.6463,0.1564
25.6148,1.4674,0.1989,0.0175
23.8432,7.5466,0.3694,0.2766
26.9402,5.9338,0.2948,0.169
29.6043,5.5193,0.8356,0.4402
20.4115,1.5871,0.9029,0.0934
29.2234,7.7774,0.9636,0.7385
29.4366,1.3143,0.0989,0.0067
28.65,2.4427,0.3346,0.0664
23.0714,3.988,0.6964,0.2564
20.6408,3.4576,0.4618,0.1442
23.7625,7.2138,0.1547,0.1103
21.339,5.9632,0.9959,0.5795
26.4788,4.2408,0.1121,0.0441
27.8106,2.7548,0.1482,0.0345
23.9249,5.1957,0.0036,0.0018
28.677,2.8706,0.4442,0.1088
21.3431,5.363,0.5469,0.283
29.294,2.9418,0.2251,0.0568
20.7578,5.5362,0.1445,0.0776
