Time(s),ValveApt(%),ValveAng(°),ValveArea(m2),Temperature(K),IntakeP(Pa),OutputP(Pa),Massflow(kg/s),ReynoldsD,CD,KV
9.5,9.199999999999999,26.44,1.668012354870398e-05,295.45,999615.0788400001,91414.21740000002,0.002379558153160647,9489.655084154663,0.06082840366334726,64.79703415864577
10,9.199999999999999,26.44,1.668012354870398e-05,296.45,997046.63549,91922.10870000004,0.002237350870140165,8899.29865103319,0.05743746316612442,64.5902356807095
10.5,9.199999999999999,26.44,1.668012354870398e-05,295.95,996532.94682,91414.21740000002,0.002623960575368434,10450.68118620205,0.06734040345114121,65.11355247487043
11,9.199999999999999,26.44,1.668012354870398e-05,296.05,1000128.76751,92430,0.002628466139341754,10465.89714677742,0.06722485868735129,65.1189970664395
11.5,9.199999999999999,26.44,1.668012354870398e-05,296.05,996019.2581499999,93445.78260000004,0.002237727867695054,8910.074721996996,0.05746758746469092,64.59080781536299
12,9.199999999999999,26.44,1.668012354870398e-05,295.85,997560.3241600001,90398.43479999999,0.002625848492941531,10460.92826451943,0.06730807679127603,65.11583452063506
12.5,9.199999999999999,26.44,1.668012354870398e-05,296.15,998074.0128299999,90398.43479999999,0.001780233245914149,7086.598258058457,0.04563214941377289,63.77169655523102
13,9.199999999999999,26.44,1.668012354870398e-05,296.15,994478.1921399999,93953.67389999999,0.002620184784219621,10430.20456463123,0.06740520329073482,65.10898127966755
13.5,9.199999999999999,26.44,1.668012354870398e-05,295.85,999101.39017,91414.21740000002,0.002099182307089702,8362.780864030126,0.0537251057259398,64.37024618161786
14,9.199999999999999,26.44,1.668012354870398e-05,295.7499999999999,993964.5034700001,92430,0.002851050424900477,11361.05787164914,0.07333263628467282,65.37147620976732
14.5,9.199999999999999,26.44,1.668012354870398e-05,296.05,997560.3241600001,92430,0.002963700337153891,11800.71618129727,0.07599386842489186,65.48861401412864
15,9.199999999999999,26.44,1.668012354870398e-05,296.05,997560.3241600001,93953.67389999999,0.001780065711538032,7087.77806668939,0.04564364277131659,63.7713414632745
15.5,9.199999999999999,26.44,1.668012354870398e-05,296.2499999999999,998074.0128299999,91414.21740000002,0.00285469703479362,11360.77105719044,0.07318588915564114,65.37538871827854
16,9.199999999999999,26.44,1.668012354870398e-05,295.7499999999999,997560.3241600001,93953.67389999999,0.002503918936408185,9977.784922357016,0.06417182220791454,64.96369549568824
16.5,9.199999999999999,26.44,1.668012354870398e-05,296.15,997560.3241600001,93445.78260000004,0.002854431672655144,11362.67428192964,0.07320441096309108,65.37510372852884
17,9.199999999999999,26.44,1.668012354870398e-05,296.15,1002183.52219,93953.67389999999,0.002630836056072092,10472.60422474828,0.06715885666611245,65.12185580372464
17.5,9.199999999999999,26.44,1.668012354870398e-05,296.7499999999999,997046.63549,92430,0.001941350778358619,7715.905639009935,0.04986373475180802,64.09180219296854
18,9.199999999999999,26.44,1.668012354870398e-05,296.2499999999999,995505.5694800001,91414.21740000002,0.002621142113330299,10431.29799588651,0.06737161398370582,65.11014224017367
18.5,9.199999999999999,26.44,1.668012354870398e-05,296.05,996532.94682,94461.56520000001,0.002238336976350477,8912.500040871551,0.05745359890261924,64.59173522935566
19,9.199999999999999,26.44,1.668012354870398e-05,296.35,994478.1921399999,91922.10870000004,0.002497179770050596,9935.380821819319,0.06426254305442192,64.95495801679021
27,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,996019.2581499999,92430,0.003364951817320382,13408.88677309953,0.07944149373214598,65.85812749655129
27.5,9.800000000000001,26.86,1.8135362899444e-05,296.15,996532.94682,90398.43479999999,0.002852889307473145,11356.53456825047,0.06736325105359338,65.37345131077255
28,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,997560.3241600001,92430,0.002373594643750739,9446.139117938004,0.05599773689987658,64.78871351808732
28.5,9.800000000000001,26.86,1.8135362899444e-05,295.95,997046.63549,90398.43479999999,0.002624671440171704,10453.51241068584,0.06192165509659945,65.1144122856508
29,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,997046.63549,92430,0.003168787074052198,12610.74784417324,0.07479639658352595,65.68601557093417
29.5,9.800000000000001,26.86,1.8135362899444e-05,295.65,998074.0128299999,89890.54350000003,0.002376776575481745,9473.612011599649,0.05598716321350946,64.79315590378535
30,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,997046.63549,90906.32610000001,0.002625604165719682,10462.68442475045,0.06192272611709098,65.11553852928469
30.5,9.800000000000001,26.86,1.8135362899444e-05,295.35,998074.0128299999,92430,0.003073496345373982,12260.27785497824,0.072362298190102,65.5966986891162
31,9.800000000000001,26.86,1.8135362899444e-05,294.95,998074.0128299999,92430,0.003735613942305518,14917.09000723502,0.08789159596832413,66.1464348966644
31.5,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,997046.63549,91414.21740000002,0.003893856351678652,15496.28909892573,0.0919110110945373,66.25703299969562
32,9.800000000000001,26.86,1.8135362899444e-05,296.05,996019.2581499999,92430,0.004134101865968928,16460.96340216382,0.0976494679385604,66.41293017915724
32.5,9.800000000000001,26.86,1.8135362899444e-05,296.15,997046.63549,91922.10870000004,0.004289186209850851,17074.02083012397,0.1012253315232183,66.50668359888559
33,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,996532.94682,90906.32610000001,0.003459548933758379,13785.84373778763,0.08163268918162005,65.93598020563137
